wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
12kcMKN5Wavr4ZV1o3jLmGaEgnced6pvMZ,False,0,225870,225870,1
113J3bBRaed3sJpMc21deErMrdL4YcQyTM,False,70343584,70494952,151368,8
12o16pS2hm2ikunqLnNzrqdNdAPijMcq6a,False,0,190709,190709,1
12s39wC6yaPtRiK53MRhRxRrUNFpRSJi2L,False,0,40000,40000,1
12Q2Xd2JXwkhdQgFqFfatZsdvrYKCgHzJR,False,0,995690,995690,1
12F9FZ9iFzFerE3otV1cfVfiExHPXhk5Lj,False,0,116000,116000,1
1279QxvhYArCXJL2vUrhyoBSLfiYguWqgk,False,0,50000002,50000002,3
125ebHGJ56u7AjY331zBgdt3f8JHy2HJK9,False,0,1651,1651,1
12CZgt22HWfTgVN4ub6nQedXzDWzKMY6vn,False,0,2607,2607,1
12qSNX3D62nh4dSZDi6SPdeTJRqsfmkZXz,False,0,15430,15430,1
124c28pRtVxBPDH1C5hUjxbpv7Lxcrv1bi,False,1798282,1830282,32000,10
12SDrshqJhMJwaf1Zd1w3snLsZMioCuqAx,False,0,605299,605299,1
12sVRbu6MfRRGTTtVdA4TX7twGWpLJrHGP,False,2994,500546,497552,3
12dow6sNXUaXrWS35rBV9tB81ADapHWpTA,False,0,64375,64375,1
12Fou3sZ4zVSeH4eL1sR2bM1MgYh5gNnB9,False,23551206,23551207,1,5
115QUAHPNbq4gbpxV8Wg3WWvGSXLKjcK7g,False,0,291961,291961,1
12bx1HT1ujsQyTChTLZm3Zgbo36CKZXrCt,False,0,16681,16681,1
12Fztz46f46huwGVT5kcYLodiVUbE3EELs,False,0,1006148,1006148,1
12eE9tMkhtMcCqS6epqBP33ejzkLm8Pn8i,False,0,45312,45312,1
123tg8Cg6SipJFZ6GZfbEeRupQQiQEubGk,False,0,1680000,1680000,1
12uFMieYrgAUkb9NWwzdpiNkevtHtVTiBx,False,0,9620,9620,1
12EKwhs7EmrgXzeUBycVJAo3HDhmLDceHg,False,0,2500,2500,1
12nitNCrzTyf4sZFFKGsexdAHCKRMU5co6,False,0,50000000,50000000,1
12CVKaHXvyi8VjezVcrDrKiuidyNXj43aX,False,0,8100000,8100000,1
12TEJxghmENWtyLTwfD8pjGXKZtBaGAh5R,False,25170000,25180000,10000,3
12a6DWR5SxRDKWkFpaZnikS5n2FBVueag6,False,0,357000,357000,1
12jNuY6PwtVnjHVuGyKMXKcYgkntSPkWYw,False,0,253206,253206,1
12ZDrtkZuoCNF8ebYmcjYxn7mWyhU4i48F,False,0,1682,1682,1
12rUaon1rTPjcYMRdN3oP58zqGxghucxHs,False,0,611246,611246,1
12SCP7b9eKAfXTFrwNt87LBpwoUz1szjfT,False,0,14236748,14236748,1
12mTy3wfnCPfs48BdB2gC4GddEr4D8KaJ3,False,2615900,2615900,0,2
12pCsJ6GhBFB7GWwyZjhr674Wj2vp3G1ML,False,0,2500,2500,1
128VJWbWXaZCQBwPoDN2eHyqjWAHd8dn5k,False,116851262,217936496,101085234,55
12SbyzRAETm3RCRwffh8gK8YuM1NEVzc9z,False,0,80000,80000,1
12W8tCKZb3ZooXu4NHmxMrHNgfxbSBAqte,False,0,300000,300000,1
12szYc12ebmurLxhrsTWD9ffei6QzbSHUo,False,0,30000,30000,1
12KutsX9Jj1hTpSuMQQ4yqhk3sBMo7Cx8D,False,0,4000,4000,1
12kzxtVWyFy9N833zPRZj8y2oZCcGwgb3c,False,0,10000,10000,1
12cC6PGHkFP9C1YKrBw824KnsaCPGq7JMV,False,0,12416,12416,1
1248yYVEbquKMVyPyCmdrU2Z5o52Xcv5ZH,False,0,1992491,1992491,4
12YcMM7xbebPDJrrdap1u6WbnQqBnPAebK,False,0,12600000,12600000,1
113FNUtoP8uctjBBuKnmNS7SmmBdaKiXDq,False,13541610,13541610,0,2
12RCF1feM4MyxLkSpeJgdfgBMhPJWFbUBh,False,277971261,277971807,546,9
12Q2gwDyycugSNV3CsSWrcg3GSFNyC75uk,False,0,250973,250973,1
128FykBzhvYcDem59nFkfZGHrwdQLifzdP,False,0,8851,8851,1
12WtPTgH1fg2DnhopMcRXe2gYBkc8sQQJH,False,0,4499421,4499421,1
12gSeYZTfSrPmqWEF2eokxQst9113bwAqm,False,0,18498,18498,1
12FR966WBcY3B2fyHoD8d8ULXVso17tBvc,False,1804774,6058151,4253377,4
11qbptiCmbaTsJdc9QEZLm7h1sJZbw1ZQ,False,25572,28092,2520,4
12qcbrGwoUnpXJ9EgMgv5rcV5eWjPqsN7L,False,0,100000,100000,1
12f5go2WMTPkUNZvahMeZukW9V17b3PVf8,False,813080,1903720,1090640,18
12d7V25983G84SJX2ayPf9UDoNs2Gj11zr,False,0,6139,6139,1
12aXHeJ6oeEPJ1LzPLtcQeaV2QMXka3Qco,False,0,150037,150037,1
12FGTzLzYRiCq8tD5FvSKeUS4VHG7yibpc,False,0,2712,2712,1
12Sa8STDgGtnGWjdmpbLTKScxqjSpSsZSZ,False,0,1249,1249,1
12LtTjZTj7Wc9i1FnJax1dbFEpFk2c3HVY,False,145515,169826,24311,5
12pRpiGcMX6Cg9uXoqBggLtU3SGq5hCSMo,False,0,1719,1719,1
121U7f2jDYwm7daNLx5aSpMvgH1EJiQdPS,False,0,13616,13616,1
12sRFZQhTe8N68PuUZsA1tbKHMSHWAzvdH,False,0,4215654,4215654,1
12guJGkodzeJcKFBPJhd9aEErW5UFEKWG3,False,0,26491894,26491894,1
12KF4SyvZULeR2Msa5BECZGpgoiJeg3qxo,False,996,1542,546,3
125snjqLUwrLPvCGPH4B5s7nJvDbqm6GTK,False,0,1807,1807,1
12K3WfcRZRRxt3xjgHvS1fuPLQ4XtSWxPe,False,0,9136,9136,1
12a8eNypVbZzAnsghMJH7RXk2pfnsy2VX1,False,7032447,7032993,546,7
12GMF4dJG1brfeDtCjxddprsms5xsETJkA,False,2796,3342,546,3
12An3bfbPY7x3CpPDC6DK7jRa3umfdCw4C,False,0,220194,220194,1
12bweknQjtj2bRzLVeoVwA6VGn9kaU1Drd,False,0,169280,169280,1
11RLkA4o2Hpi5mTHLfquup2kNUDhDuaYA,False,0,20549,20549,1
115bpqxi2mKznB73EkRaoAe2ESXvNUpGVQ,False,0,1000000,1000000,1
122cTTT8oYjbAJSyWe2MDuMcLFau7Jkd45,False,0,4444426,4444426,1
12pUGGqaXojan6nKvhi3vrXq1skaTiMUip,False,0,25000000,25000000,1
11296CyMTodgD7EBGSvtwq1a9SxQZN1iYJ,False,0,10000,10000,1
12ShTgxd644Ztts6Hyh8srmaAjheRMRaj7,False,0,4948829,4948829,1
12YcNvGmrkfZYrQHooFTfRdWjGaHcoD4WF,False,0,893649,893649,1
12gTFj9DhNn5itnpYWbAzUhbtqc7Ar13w1,False,0,9680,9680,1
12roY7ZAkfV2DGBFQ7fvV9Ya2yiDWBNqgu,False,0,100000000,100000000,1
1273md7SrwPD9yxNc5XhR7jQnww28LdiZZ,False,0,52075,52075,1
12LCrdFWATb3hjZrQsFaoXC4XV1NU3MXfp,False,0,221506,221506,1
12gSEQbAYs5DZ1FnP7EjAz6bDZLks9LChw,False,6719397084,6719397630,546,23
