wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
112BnFqQFYp2ZF8A33AW4Tg3HPUAeWS9DZ,FALSE,0,12312,12312,1
112gYwpu2A8xj3ziMptBmRb9dCYqHrN6GF,FALSE,0,9489,9489,1
112BuUitSLN9FiNy9etkuNyjEkMtLcppo1,FALSE,0,524163,524163,1
113AvmUBZkxFeXxKAUBX5aKmW69tS1qRDK,FALSE,0,1101,1101,1
112wkbd3ThMBzEyw4CXWr9ZWGFSJDHxQVH,FALSE,0,12410,12410,1
11111v9JgGnnP2BVvxcwXzTUJF4r2mh1,FALSE,0,2000,2000,1
113t1uuVuC6wEDMP3bncyQxAMwaLc3N11K,FALSE,1226,1226,0,2
112g8wryEGppK6qbofyCo3UfaB5eGWeN3q,FALSE,0,4467,4467,1
112YiFkFqBTEXUGwf41mLuQ2S9PQxidhBb,FALSE,0,437,437,1
113Vs7kv7jDrXQSBYyuvQ5dxWuwmvsq8Rt,FALSE,1.32E+11,1.32E+11,50000,44
1127VKVHSwzWaVHJKirT3qS9C6cEBQm16c,FALSE,24233936,25000000,766064,2
112Umnt5hQ7YzzQLzpHnVQJUMMcofBuU4o,FALSE,0,9206,9206,1
113VfxebYxqoFQfyWvPf4SgSqAhtcRof67,FALSE,0,3485,3485,2
113jDbR8dWXReZwW58qZFgzqKrKFz8iHND,FALSE,192350,192350,0,2
113271S9ZHiUYo51dqjcXhfsmjSGY26SEa,FALSE,11185023,11185023,0,4
113xh6zvJ73sKdjKWTUZiGDjkw6CEj2tZd,FALSE,28364,28364,0,2
1128PRcSixkqfh7GT21vsk5ywoiCRPU68r,FALSE,0,18148,18148,1
112eey9Qurg5f4RVSKjeys5ypeNmRMgmT2,FALSE,0,2730,2730,1
112RB2fZFBCsJwoHxsyHqTNzarvs6EZkj,FALSE,0,53908385,53908385,1
112Wa8MuqsaBcSbLkoaSmPC8DQ99wGrUhD,FALSE,0,2710,2710,1
113PdJMFaLC8xsKginDqqyn4PMDtPkQFRT,FALSE,2263279,2491116,227837,8
113QwoaqVRLcMQ16sZtbc9YpTU4w61cjwV,FALSE,0,39548,39548,1
1137JwhyxXfgM1twjZgqPdBB4Kq4pg537G,FALSE,0,29170994,29170994,1
113wRQgq57X54Zf8DyS2DBaCqMoF9Lx6ip,FALSE,0,5770,5770,1
113wfagTtPgfEhw7RQrL85JCUrLjxN6DxA,FALSE,921239,921239,0,2
11314VGEjrN47oeetqpnc3hUogmYCxmn2E,FALSE,0,30895000,30895000,1
113HTf1jL9VDZ6vqW1mfa2PJKbZJPqMNn7,FALSE,0,10050,10050,1
113Uh1cx2nT7ceXJ84hcBYBiY7dPqRmFHx,FALSE,0,10000000,10000000,1
113hAMs7sw7Qgg3sb2Hgnf7EZ32bEWckuY,FALSE,0,473726,473726,1
112Xncy2TV9pCH8NhNx5qZq6VG2wkuYnox,FALSE,0,10000,10000,1
112KdjDJp6ogveKf8pUfAE2NBdgHR5XVtp,FALSE,0,631,631,1
1112CT1GXCVxtKXbf9YugavFxJfXCGmBRi,FALSE,0,548,548,1
113oCDryxcuc5F3cpH3Gtd9rrpEtyeDM9j,FALSE,0,78635,78635,1
1128tWWia2N4RU6GngjkgKbQih6Z8FbGE1,FALSE,0,1805,1805,1
113ZfKCgZKSSD9RT5bicNRPtwLjwC67FTy,FALSE,130362,130909,547,3
113uirvdotd7juqvLazGhRHKHg9KG6X7dg,FALSE,0,10732,10732,1
112D6DYeZkD6Ci3KE5yKcHe3avtR2kXGC6,FALSE,1000,1000,0,2
113PJQvvVAqhLgCv5LU63RTK92gPy1nmNQ,FALSE,17290,17290,0,2
113o6Fw2iZxdqDMAzMr8yae9V25RScuQk,FALSE,0,1000,1000,1
1121YXrM9tSEDFECTiL5Bq2yj8scMnc6og,FALSE,0,1001285,1001285,1
112ahG2nb3RXZPErZrr3aBz1hXgKvUtihe,FALSE,0,627,627,1
112geRaszfBA1pxr8TgXmCohRvj8M5cUpX,FALSE,0,37482,37482,1
112EZVWy8Wksa26kYpbhAu8X3b49XDikh6,FALSE,0,11500,11500,1
113Lhg1XXnbvShJ4CYwFzZF4iCQB2kcJ77,FALSE,0,4008,4008,1
1139j5TAgKLKJwVU5aTk9SA4M48WjYuU1d,FALSE,4785310,4785310,0,2
113GJxbT9x5eszGeNSqvm1GWiUjfbVCCXW,FALSE,0,68502,68502,1
113zFszvNQj6nNTPPjjykDsofjjJPRnW9i,FALSE,112816,112816,0,2
112PAKhA55BJLjL42Damb9SacohuRAwLgM,FALSE,0,11255000,11255000,2
