wallet_address,malicious,malicious_type,bitcoin_spent,bitcoin_received,total_balance,total_transactions
1B1Vov1LTLGLcVG3ycPQhQLe81V67FZpMZ,TRUE,4,194342255,194342255,0,18
12ziVv4aQkZTA1gj86Y9uYQByG4CcdVcTA,TRUE,4,148453647,148453647,0,16
1HsYzxkThZTwkNrcyhBjY11GjK1H1WNStd,TRUE,4,6111700,6111700,0,4
1PfTJQp9LyzuwzSVDgErYHD6UKftEpxNop,TRUE,4,9737600,9737600,0,3
1N4goukLBQKCGYBStoiXgJ8UaBpNZM7UMp,TRUE,4,23171041,23171041,0,2
1PTGiBdKsZdHxBm4961tTToqiA7B8fy3ZN,TRUE,4,22393,22393,0,2
1NQzdqokrdnBXoXmH9KpGADYcrQ4JGSaCF,TRUE,4,20245101,20245101,0,18
1DGQJBfLb11VBaKLhRzQWCFUXwKtoXgV21,TRUE,4,21260,21260,0,4
1H52PeH3bWvv9szypvpWyh9rqeTajf7H1E,TRUE,4,15686,15686,0,2
1DQqZVUFopQ6v1rMC8GeCZNKnrEQt2guha,TRUE,4,4380,4380,0,2
1EXAyT8LfbzkC94EMa1KnPBLfGzCkS5h1y,TRUE,4,6175574,6175574,0,4
1ArguHN7pQHohvnx83J4PgRWtf15A3Wvtk,TRUE,4,6233274,6233274,0,4
1DLKSudQvHMNXtzBEY5QZqQSV8bh9cF6b1,TRUE,4,1367,1367,0,2
18yniAWBB73grpVKyZeKWYEaYbAsjBqvaD,TRUE,4,3740297609,3740851243,553634,92
1KtQGChPRyha4xVyiDHMwc41RwwFaosbhG,TRUE,4,122206,122206,0,2
1Pw5DvrEARw9gjDapE5MoDDooqky999KCf,TRUE,4,10000000,10000000,0,2
1QHEbZG8NQT6vYCC8pyHvteNcmJ78B3ak3,TRUE,4,132891228,132891775,547,16
18yeC7HGmFnvVBPrQHmuuW49AtiWGT9CsW,TRUE,4,22014986,22014986,0,2
1Kso5XCxGq2jDAus99hRquhDRdjiLApGVi,TRUE,4,17871173,17871173,0,3
17ZLAibXo3yqHazH8cvvFZPawtM23bup2F,TRUE,4,11624700,11624700,0,2
1GGhxKFqxvgdB6Qnqx9xhY9ZkpwMJ6mkR1,TRUE,4,12507839,12507839,0,2
1JRMsH8xnm2Uk3XZQfS63woi4uFyM2gBLC,TRUE,4,4520295,4520295,0,2
1PcFYw7PQKUnj6RxqVwZ4TFuwWUPTyECKQ,TRUE,4,205362372,205362372,0,22
1NkQMBosJTeN1zs1T4X3QM5BLFX24YPKys,TRUE,1,36130767,36130767,0,5
159Pupfrs1zafcMEjf1CRKLBm8uvbZ5Zf7,TRUE,4,56241078,56241078,0,13
19qL8vdRtk5xJcGNVk3WruuSyitVfSAy7f,TRUE,4,142302909,142302909,0,19
1Bt4psBJmjfVTcW6eYiJZ6HEbpFgKkBSX4,TRUE,4,176881831,176881831,0,17
1jQMgjc7CRcH64qwjs7KBbHKgp53XPNxY,TRUE,4,20818175,20818175,0,3
1M2D1PzyyiZBrSh8qcdts5kecQAX3S9xuF,TRUE,4,14001929,14001929,0,2
18N5GJooySqkopxviWFS7f92UgmsReHVtB,TRUE,4,39222000,39222000,0,2
1PVin6QCwPhptGxiwPdTBgC9evpsBsvK7i,TRUE,4,129677303,129677303,0,3
15mzVmypAQfFXVQbLfgXxCQvb64ucotCYu,TRUE,4,7956794,7956794,0,2
1GXazHVQUdJEtpe62UFozFibPa8ToDoUn3,TRUE,4,209486799,209488346,1547,25
1KhDTLk95fZQBd5tUXj4XBYWb9bBAji2DB,TRUE,4,136566289,136566289,0,12
15vUqauqHybEPvXYLv97WW4XwM2YHXYC1d,TRUE,4,165154307,165154307,0,42
15o3nsrxKKJ5JK4w1WL5YpucWRauyWDGaF,TRUE,4,17675,17675,0,2
